fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220926 080428	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1584	TRUE	102191	0.00576861979659838	0.745390735796187	819	1021	9360	26800000	93
20220926 080543	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	102191	0.0510753973479241	0.355379980186703	935	766	9172	26300000	94
20220926 081348	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	634	TRUE	102191	0.0110488772780873	0.859197242158991	759	426	8918	26570000	95
20220926 081715	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	802	TRUE	102191	0.0303076071513145	0.217782030642271	5587	736	8555	26730000	96
20220926 081924	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	349	TRUE	102191	0.0762841539695583	0.40411785856714	2980	201	10814	26780000	97
20220926 082020	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	122	TRUE	102191	0.106144203585006	0.709961659710377	4781	881	10018	25970000	98
20220926 082212	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	202	TRUE	102191	0.0295126898335541	0.32093220438961	2496	661	8681	26160000	99
20220926 082433	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	241	TRUE	102191	0.02801093277624	0.48533703410587	2979	995	7562	26160000	100
20220926 082730	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	400	TRUE	102191	0.0297734654615227	0.451151012387674	3012	925	7676	26490000	101
20220926 083530	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	748	TRUE	102191	0.00759699072068829	0.617266927666766	1581	730	8648	26790000	102
20220926 083811	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	442	TRUE	102191	0.0385844810206027	0.419638807678886	5000	768	8811	27100000	103
20220926 083933	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	164	TRUE	102191	0.0799613456157581	0.529328942588542	3746	102	9905	27070000	104
20220926 084031	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	59	TRUE	102191	0.0748452189499199	0.513913236013875	2295	618	8965	26150000	105
20220926 084130	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	132	TRUE	102191	0.0816143365017855	0.302570095343993	4290	380	9971	26300000	106
